,Hour,Minutes,Sensor_alpha,Sensor_beta,Sensor_gamma,Sensor_alpha_plus,Sensor_beta_plus,Sensor_gamma_plus,Insect
0,22,26,119.91099509914545,242.83832442154588,-316.8192224546028,250.19504806941768,-53.54777743704835,-112.04998339216505,2
1,10,16,-90.79053622505052,-269.47076686616987,-182.58184393846824,95.39494140607357,37.291944096151106,48.52518002541007,0
2,21,42,-20.02800301547547,-147.07021163438992,50.280871737663226,-90.7503861661937,-50.47655566005774,85.39900868624007,1
3,21,17,-21.25856746937925,0.46707027365666676,-86.164153237189,-21.813528704670905,-209.2560055535453,16.291881762106446,0
4,18,16,-58.15450100249657,-13.05119505919372,-156.50116710707042,48.39293778406268,-110.00885993603204,-10.28513787880428,2
5,21,23,-46.761030939446464,237.8630743022891,208.00869995051542,-125.72918514073628,-33.29874912265272,-1.3628399904312107,1
6,21,10,108.26810104035738,-26.19656881554494,-96.56849085198189,117.4327061493462,-96.70775996378622,70.6399466476045,0
7,7,34,-103.67332867715035,-234.69671090707288,-103.49940043746062,98.08118694877292,-28.15625282424015,45.06858288378315,0
8,20,12,-146.49215471865992,12.444229323907086,-42.47303725467463,60.356941484725844,-73.82274208900303,-31.02291524216172,0
9,21,1,-60.92406619491523,-66.59859084962693,-63.17352045423623,-104.8309567202301,123.15530636286405,158.86695483667722,1
10,21,19,257.203233913599,104.38888394347407,117.47456823440096,-76.46865517140937,-139.06810289809331,-69.41084016851157,1
11,21,54,-206.58930294170275,-158.1656064456826,90.26989082696313,25.266183719982976,-15.321192282049584,-134.62430840540068,0
12,2,49,73.6543047828517,-37.697009209759635,-60.15337115798394,40.239077740543216,-14.411596765775354,-151.78983290240052,0
13,19,15,-49.12668500792392,334.05621462511226,-105.01368214890658,51.2848273631282,-101.20246985744727,135.2941411378519,2
14,19,28,17.478872809675714,-148.0742454359648,26.114064847755685,-5.159567044053692,86.03718684963916,53.176283717371675,0
15,23,24,-22.67928440786732,150.69995642250294,-208.01582656612746,214.09797848722388,16.832217415435284,-140.14257498874585,2
16,21,37,-83.06108207556476,-117.03636663441061,-90.92501245795802,-2.855683507721929,-2.3988833480568372,-123.67409935124229,0
